2020-01-07 00:23:30 INFO  Logger:74 - Trying to find Element By : By.name: email
2020-01-07 00:23:30 INFO  Logger:80 - Found Element By : By.name: email
2020-01-07 00:23:30 INFO  Logger:74 - Trying to find Element By : By.name: password
2020-01-07 00:23:30 INFO  Logger:80 - Found Element By : By.name: password
2020-01-07 00:23:30 INFO  Logger:74 - Trying to find Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:23:30 INFO  Logger:80 - Found Element By : By.xpath: //div[@class='ui fluid large blue submit button']
2020-01-07 00:23:30 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (3daf755827f981f9715502bacc38d8fe)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:23:30 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (3daf755827f981f9715502bacc38d8fe)] -> xpath: //div[@class='ui fluid large blue submit button']]
2020-01-07 00:23:30 INFO  Logger:74 - Trying to find Element By : By.xpath: //div/a[attribute::href='/contacts']
2020-01-07 00:23:31 INFO  Logger:80 - Found Element By : By.xpath: //div/a[attribute::href='/contacts']
2020-01-07 00:23:31 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (3daf755827f981f9715502bacc38d8fe)] -> xpath: //div/a[attribute::href='/contacts']]
2020-01-07 00:23:31 INFO  Logger:37 - Clicked on: [[ChromeDriver: chrome on XP (3daf755827f981f9715502bacc38d8fe)] -> xpath: //div/a[attribute::href='/contacts']]
2020-01-07 00:23:31 INFO  Logger:74 - Trying to find Element By : By.xpath: //div[attribute::class='ui header item mb5 light-black']
2020-01-07 00:23:31 INFO  Logger:80 - Found Element By : By.xpath: //div[attribute::class='ui header item mb5 light-black']
2020-01-07 00:23:35 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:23:37 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:23:41 INFO  Logger:17 - Before navigating to: 'https://www.freecrm.com/'
2020-01-07 00:23:43 INFO  Logger:21 - Navigated to:'https://www.freecrm.com/'
2020-01-07 00:23:43 INFO  Logger:74 - Trying to find Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:23:43 INFO  Logger:80 - Found Element By : By.xpath: //a[attribute::href='https://ui.cogmento.com']
2020-01-07 00:23:43 INFO  Logger:33 - Trying to click on: [[ChromeDriver: chrome on XP (89261bb814d42857f42b34032418c0fd)] -> xpath: //a[attribute::href='https://ui.cogmento.com']]
